
Feature: cancel , Entropy= 0.03567600787130488
Feature: concretion , Entropy= 0.03569647458239714
Feature: unavailable , Entropy= 0.03569647458239714
Feature: abrupt , Entropy= 0.03569647458239714
Feature: spontaneous , Entropy= 0.03569647458239714
Feature: pollution , Entropy= 0.03569647458239714
Feature: salary , Entropy= 0.035634841282193824
Feature: bufflehead , Entropy= 0.03569647458239714
Feature: guards , Entropy= 0.035634841282193824
Feature: schedulers , Entropy= 0.03555155869029283
Feature: roil , Entropy= 0.03569647458239714
Feature: pick , Entropy= 0.03567600787130488
Feature: gloomy , Entropy= 0.03569647458239714
Feature: pics , Entropy= 0.03569647458239714
Feature: energy , Entropy= 0.03509202134738025
Feature: antonio , Entropy= 0.03569647458239714
Feature: austenite , Entropy= 0.03569647458239714
Feature: spreading , Entropy= 0.03569647458239714
Feature: avoidance , Entropy= 0.03569647458239714
Feature: compassionate , Entropy= 0.03569647458239714
Feature: 2 , Entropy= 0.027674969379041178
Feature: subtotal , Entropy= 0.035655463634421763
Feature: dolphins , Entropy= 0.03569647458239714
Feature: resurgent , Entropy= 0.03569647458239714
Feature: amusing , Entropy= 0.03569647458239714
Feature: hollowware , Entropy= 0.03569647458239714
Feature: autosuggestible , Entropy= 0.03569647458239714
Feature: grandiloquent , Entropy= 0.03569647458239714
Feature: bogus , Entropy= 0.03569647458239714
Feature: combinator , Entropy= 0.03569647458239714
Feature: wolverine , Entropy= 0.03569647458239714
Feature: squatting , Entropy= 0.03569647458239714
Feature: role , Entropy= 0.03561414021831618
Feature: britannic , Entropy= 0.03569647458239714
Feature: barnstorm , Entropy= 0.03569647458239714
Feature: roll , Entropy= 0.03561414021831618
Feature: turn , Entropy= 0.03559335983963042
Feature: turk , Entropy= 0.03569647458239714
Feature: disciplinarian , Entropy= 0.03569647458239714
Feature: gold , Entropy= 0.03569647458239714
Feature: result , Entropy= 0.03569647458239714
Feature: golf , Entropy= 0.03569647458239714
Feature: paramagnet , Entropy= 0.03569647458239714
Feature: evaporate , Entropy= 0.03569647458239714
Feature: luminosity , Entropy= 0.03569647458239714
Feature: after , Entropy= 0.03520501863064994
Feature: parliamentarian , Entropy= 0.03569647458239714
Feature: microjoule , Entropy= 0.03569647458239714
Feature: resume , Entropy= 0.035634841282193824
Feature: a , Entropy= 0.029676309403168403
Feature: b , Entropy= 0.03481081760150033
Feature: c , Entropy= 0.03544562421981076
Feature: garland , Entropy= 0.03569647458239714
Feature: d , Entropy= 0.034173503654209424
Feature: deuterate , Entropy= 0.03569647458239714
Feature: e , Entropy= 0.03403653483235606
Feature: f , Entropy= 0.03506913661463478
Feature: posture , Entropy= 0.03569647458239714
Feature: g , Entropy= 0.03546697728901745
Feature: h , Entropy= 0.03533757935716962
Feature: i , Entropy= 0.029087616671938935
Feature: truncated , Entropy= 0.03569647458239714
Feature: j , Entropy= 0.0338099252496533
Feature: k , Entropy= 0.03522733830503562
Feature: l , Entropy= 0.03456480378035808
Feature: eating , Entropy= 0.03569647458239714
Feature: m , Entropy= 0.03478671234184221
Feature: congolese , Entropy= 0.03569647458239714
Feature: n , Entropy= 0.035634841282193824
Feature: o , Entropy= 0.035402664211786374
Feature: p , Entropy= 0.0349766196798893
Feature: q , Entropy= 0.03569647458239714
Feature: entering , Entropy= 0.03555155869029283
Feature: r , Entropy= 0.03542418675068234
Feature: s , Entropy= 0.033357690121776425
Feature: t , Entropy= 0.034359628462356545
Feature: u , Entropy= 0.03559335983963042
Feature: readers , Entropy= 0.03569647458239714
Feature: v , Entropy= 0.035655463634421763
Feature: w , Entropy= 0.035271703976778986
Feature: x , Entropy= 0.0346892054514333
Feature: y , Entropy= 0.035655463634421763
Feature: z , Entropy= 0.03569647458239714
Feature: information , Entropy= 0.034200487176307845
Feature: aminobenzoic , Entropy= 0.03569647458239714
Feature: uprising , Entropy= 0.03569647458239714
Feature: cgm , Entropy= 0.03569647458239714
Feature: good , Entropy= 0.03529375145850521
Feature: empty , Entropy= 0.035655463634421763
Feature: faithful , Entropy= 0.03569647458239714
Feature: goof , Entropy= 0.03569647458239714
Feature: sylvia , Entropy= 0.035634841282193824
Feature: gong , Entropy= 0.03569647458239714
Feature: fiance , Entropy= 0.03569647458239714
Feature: skeleton , Entropy= 0.03569647458239714
Feature: suffered , Entropy= 0.03569647458239714
Feature: federate , Entropy= 0.03569647458239714
Feature: alkene , Entropy= 0.03569647458239714
Feature: copying , Entropy= 0.03569647458239714
Feature: myriad , Entropy= 0.03569647458239714
Feature: besides , Entropy= 0.03569647458239714
Feature: serious , Entropy= 0.03569647458239714
Feature: disperse , Entropy= 0.03569647458239714
Feature: aficionado , Entropy= 0.03569647458239714
Feature: neuropathology , Entropy= 0.03569647458239714
Feature: delivering , Entropy= 0.03567600787130488
Feature: rome , Entropy= 0.03569647458239714
Feature: che , Entropy= 0.03569647458239714
Feature: chg , Entropy= 0.03569647458239714
Feature: levitate , Entropy= 0.03569647458239714
Feature: chi , Entropy= 0.03569647458239714
Feature: informative , Entropy= 0.03569647458239714
Feature: extirpate , Entropy= 0.03569647458239714
Feature: walker , Entropy= 0.03567600787130488
Feature: gone , Entropy= 0.035655463634421763
Feature: chaplaincy , Entropy= 0.03569647458239714
Feature: cia , Entropy= 0.03569647458239714
Feature: dumpy , Entropy= 0.03569647458239714
Feature: dexter , Entropy= 0.03569647458239714
Feature: effecting , Entropy= 0.03567600787130488
Feature: hostelry , Entropy= 0.03569647458239714
Feature: representation , Entropy= 0.03569647458239714
Feature: embody , Entropy= 0.03569647458239714
Feature: cit , Entropy= 0.03569647458239714
Feature: salami , Entropy= 0.03569647458239714
Feature: roof , Entropy= 0.03569647458239714
Feature: conducive , Entropy= 0.03569647458239714
Feature: caliber , Entropy= 0.03569647458239714
Feature: rood , Entropy= 0.03569647458239714
